title,company,location,apply_link
[그룹사 대기업] 페이먼트 플랫폼 개발 및 운영,제이앤피에이치알컨설팅,서울,https://kr.indeed.com/viewjob?jk=2579c2660d6538ee
[AI/Lab] AI 데이터 분석 엔지니어(마케팅 분야),버즈니,서울,https://kr.indeed.com/viewjob?jk=71703965b745ee4a
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,https://kr.indeed.com/viewjob?jk=649ccf047c868778
"R&D Engineer, Sr I",Synopsys,서울,https://kr.indeed.com/viewjob?jk=4a65a5779d9c9e2a
[금호타이어] 21년 1월 수시,금호타이어,광주 광산구,https://kr.indeed.com/viewjob?jk=fc76a3924d8601a4
[전문연구요원] 빅데이터 엔지니어(신입/경력),웹젠,성남 분당구,https://kr.indeed.com/viewjob?jk=03452de7c4b35855
21년 윈스 공채 (신입/경력),윈스,성남 분당구,https://kr.indeed.com/viewjob?jk=af1060d4d417dcf0
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=aac8e9355cb855ac
[Search] Knowledge Base Applications (신입),네이버,서울,https://kr.indeed.com/viewjob?jk=23dfc13905f7fcc0
[Janssen] Data Scientist,Johnson & Johnson Family of Companies,서울,https://kr.indeed.com/viewjob?jk=4bd70fb8a220d90d
2020년 하반기 영업/기획/마케팅/개발 부문,아우토크립트,서울 영등포구,https://kr.indeed.com/viewjob?jk=4e91309fc89e9534
[웹앱 개발자 ] 백엔드 / Python / PHP / C / C++,솔리도스,서울 강남구,https://kr.indeed.com/viewjob?jk=bffe9416fe824de1
빅데이터 및 AI 분석/개발 경력사원,GS ITM,서울 종로구,https://kr.indeed.com/viewjob?jk=6eb0aa717950d771
AI/빅데이터 (리더급) 국내 대기업,국내 대기업,경기도,https://kr.indeed.com/viewjob?jk=50bdcec0bd5965c1
Data Analyst,IQVIA,서울,https://kr.indeed.com/viewjob?jk=2c4c5856662783e7
Software Engineer Intern,Intel,서울,https://kr.indeed.com/viewjob?jk=425ed567788202a3
Data Engineer(신입),PUBG,서울,https://kr.indeed.com/viewjob?jk=210243e0776dc26f
Principal Business Analyst (Retail Program Management),Coupang,서울,https://kr.indeed.com/viewjob?jk=009995c23a8dfc72
Applications Engineer (Library Characterization),Synopsys,서울,https://kr.indeed.com/viewjob?jk=8c8700db243d1a3c
백엔드 파운트 시스템 엔지니어 (현재 급여수준 이상 보장),파운트,서울 충정로역,https://kr.indeed.com/viewjob?jk=d6c05c588971df5a
글로벌 소셜카지노 부문 사업PM,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=4665562997b87ff0
반도체 디자인 검증 엔지니어,- 10년 연혁의 팹리스기업,서울 강남구,https://kr.indeed.com/viewjob?jk=093b1546d37ec7f5
Data Analyst,Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=6a062e6906aadca2
Cross Border Ecommerce - Business Intelligence (Based in Seoul),Shopee,서울,https://kr.indeed.com/viewjob?jk=b574f1454ae36aab
Analytics Specialist,MightyHive,서울,https://kr.indeed.com/viewjob?jk=419692b3ddb34768
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=8af26b37623864c4
Machine Learning Research - Speech Recognition,Qualcomm Korea YH,서울,https://kr.indeed.com/viewjob?jk=19b7736d5aa3f7e5
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
풀무원녹즙 PDM사업부 온라인쇼핑몰 시스템 기획/개발 경력사원 채용,풀무원,서울특별시,https://kr.indeed.com/viewjob?jk=51fd7b720e1faf58
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=eeb9fe1c361f0758
21년 전문연구요원 (AI엔지니어),Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=69ab0f58743cb713
Machine Learning Software Engineer - Embedded-AI-Framework,Qualcomm Korea YH,서울,https://kr.indeed.com/viewjob?jk=b1376913a965e740
자산운용부 경력직원,신영증권,서울 영등포구,https://kr.indeed.com/viewjob?jk=fd8f06f52a5f494e
[빅데이터플랫폼] 데이터 플랫폼 운영자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=8eaca3d4cbc13fe1
IT Data Analyst 대리과장급,한성자동차,서울 강남구,https://kr.indeed.com/viewjob?jk=c8a9bea3dc083667
시스템/서버 엔지니어 영입,카카오페이증권,성남 분당구,https://kr.indeed.com/viewjob?jk=a4789c5b4acf4353
Jr. Backend Developer,Delivery Tech Hero,서울,https://kr.indeed.com/viewjob?jk=d6c27e2108eafb61
(식품대기업) 온라인몰 운영 및 개발,화인크루,서울,https://kr.indeed.com/viewjob?jk=bd46fb35ccd8e981
2020년 각 부문 신입/경력,더이앤엠,서울,https://kr.indeed.com/viewjob?jk=ef17560d7d3fb8f3
AI 서비스 백엔드 개발자 (신입/경력),플레이스에이,성남 분당구,https://kr.indeed.com/viewjob?jk=84073b0a49c43877
[전문연구요원] 상시 (전직),네이버랩스,경기도,https://kr.indeed.com/viewjob?jk=14b591547a3b9df5
[데이터 플랫폼]데이터 엔지니어 (전문연구요원 가능),버즈니,서울,https://kr.indeed.com/viewjob?jk=ceb8243bc8ae3c35
"백엔드 개발자(Pyhton Django, DRF)",피큐레잇,서울 마포구,https://kr.indeed.com/viewjob?jk=14757d11e42a1e7f
Machine Learning 엔지니어 영입,카카오모빌리티,성남 분당구,https://kr.indeed.com/viewjob?jk=5163264f93887592
데이터 마케팅 경력사원,LG전자,서울 영등포구,https://kr.indeed.com/viewjob?jk=d69b5a1e60c65ce6
컴퓨터 비전 & 머신 러닝 엔지니어 (신입/경력/커리어전환),플레이스에이,성남 분당구,https://kr.indeed.com/viewjob?jk=f4ed5252a27fc745
Data Scientist,Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=7af6301dc691d3ab
[국비무료과정]Java·Python기반 빅데이터 분석 개발자 양성과정,중앙에이치티에이,서울 종로구,https://kr.indeed.com/viewjob?jk=c7cc9b2859f1791c
(주)엘솔루 웹 개발자,㈜엘솔루,서울,https://kr.indeed.com/viewjob?jk=5fd29c2690ec4905
[KSTEC] 2021년 경력 사원 (SW개발자),지식시스템,성남 분당구,https://kr.indeed.com/viewjob?jk=7dc860cc05850a5b
디지털광고 매니저 경력,두산매거진,서울 강남구,https://kr.indeed.com/viewjob?jk=3d3d6ce7469998f8
"[펜타시큐리티] 보안S/W 개발 및 기획자 (웹, 인증, 클라우드, 블록체인)",펜타시큐리티시스템,서울 영등포구,https://kr.indeed.com/viewjob?jk=8b4fa8f5a4ee0a1e
"[펜타시큐리티] 보안S/W 개발 및 기획자 (웹, 인증, 클라우드, 블록체인)",펜타시큐리티시스템,서울 영등포구,https://kr.indeed.com/viewjob?jk=8b4fa8f5a4ee0a1e
Junior Quant Trader,Byzantine Partners,서울,https://kr.indeed.com/viewjob?jk=25725b3c0e607311
"Senior, Back-end Engineering (Seller-Portal)",Coupang,서울,https://kr.indeed.com/viewjob?jk=6314ca17d2497f7b
[타다]데이터 분석가/사이언티스트,쏘카,대한민국,https://kr.indeed.com/viewjob?jk=3330430ae94277db
[IT벤처기업] AI팀 디렉터 (과장급),커리어라임즈,서울 중구,https://kr.indeed.com/viewjob?jk=8811881754cb9fac
사물인터넷(IoT) 개발자 (하드웨어 및 소프트웨어),큐빅스,경기도 파주,https://kr.indeed.com/viewjob?jk=a4ade495ab488c6f
[브랜디] 경영본부/사업본부/개발직군 신입 및 경력,브랜디,서울 강남구,https://kr.indeed.com/viewjob?jk=cd5ca556791f1f79
Data Specialist (Scientist&&Engineer),아우름플래닛,서울 마포구,https://kr.indeed.com/viewjob?jk=dd4d8e59a4a9265d
"웹개발, Python 외 신입/경력 계약직",쿠바로엠앤씨,서울 강서구,https://kr.indeed.com/viewjob?jk=84fd9f9deb6105b0
Data Analytics SA,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=9a818d9d91db847d
프랭클린템플턴투신운용 Junior Trader (Quant base 필수),프랭클린템플턴투신,대한민국,https://kr.indeed.com/viewjob?jk=4adac8923476d038
자연어처러(NLP) 리서처/개발자,주식회사 바운티팜,서울 서초구,https://kr.indeed.com/viewjob?jk=32cd3d2361bac5df
시니어 Full-stack 개발자 (프로덕트 리드),주식회사 바운티팜,서울 서초구,https://kr.indeed.com/viewjob?jk=2adbb2c74623a112
2021년 수시 R&D센터 (1월31일 마감),에스에프에이,경기도 화성,https://kr.indeed.com/viewjob?jk=8d8390811c1cd670
파이썬SW 금융분야 특화 챗봇 개발 함께 할 엔지니어,파운트,서울 충정로역,https://kr.indeed.com/viewjob?jk=ffd9cedb23e97344
